"","num_authors","pub_year","subject","title","journal_name","abbrev_journal_name","section","p-values","symbols"
"1",2,"2010","Research article","Patient relevant outcome 7 years after total hip replacement for OA - a prospective study","BMC Musculoskeletal Disorders","NA","result",1e-04,"<"
"2",7,"2016","Research","Very large treatment effects in randomised trials as an empirical marker to indicate whether subsequent trials are necessary: meta-epidemiological assessment","The BMJ","BMJ","result",0.01,"<"
"3",3,"2008","Original Research","G-Protein Inwardly Rectifying Potassium Channel 1 (GIRK1) Knockdown Decreases Beta-Adrenergic, MAP Kinase and Akt Signaling in the MDA-MB-453 Breast Cancer Cell Line","Breast Cancer : Basic and Clinical Research","NA","result",NA,NA
"4",5,"2016","Original Article","Effect of a Chitosan Gel on Hemostasis and Prevention of Adhesion After Endoscopic Sinus Surgery","Clinical and Experimental Otorhinolaryngology","Clin Exp Otorhinolaryngol","result",0.001,"<"
"5",5,"2001","Meeting Abstract","Evaluation of early and late histamine release by three standard volume substitutes","Critical Care","Crit Care","result",0.05,">"
"6",7,"2014","Complications","Hydrogen Sulfide Improves Wound Healing via Restoration of Endothelial Progenitor Cell Functions and Activation of Angiopoietin-1 in Type 2 Diabetes","Diabetes","Diabetes","result",0.01,"<"
"7",8,"2014","Short Communication","Cross‐reactivity of hepatitis C virus specific vaccine‐induced T cells at immunodominant epitopes","European Journal of Immunology","Eur. J. Immunol","result",NA,NA
"8",9,"2016","Original Article","Usage and Attitudes Towards Natural Remedies and Homeopathy in General Pediatrics","Global Pediatric Health","Glob Pediatr Health","result",0.001,"<"
"9",12,"2013","Supplement 1, 2013","HPV genotypes detected in cervical cancers from Alaska Native women, 1980–2007","International Journal of Circumpolar Health","Int J Circumpolar Health","result",NA,NA
"10",6,"2009","Review","Male breast cancer: thirteen years experience of a single center","International Seminars in Surgical Oncology : ISSO","NA","result",NA,NA
"11",8,"2015","Poster Presentation","Dynamics of the dosage of citrate-calciuminfusion regimens as anticoagulation in continuous venovenous hemodiafiltration","Intensive Care Medicine Experimental","Intensive Care Med Exp","result",0.01,"<"
"12",8,"2012","Original Articles","PV1 down-regulationviashRNA inhibits the growth of pancreatic adenocarcinoma xenografts","Journal of Cellular and Molecular Medicine","J. Cell. Mol. Med","result",0.01,"<"
