"","Abbreviation","Title","FoR1","FoR.method","FoRCode","Category"
"1","AAPS J","","Pharmacology And Pharmaceutical Sciences","Chosen.by.Luke","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"2","AAPS PharmSciTech","AAPS PharmSciTech","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"3","Abdom Imaging","Abdominal Imaging","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"4","Acad Emerg Med","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"5","ACS Chem Biol","ACS Chemical Biology","Chemical Sciences","Chosen.by.ERA","Chemical sciences","Chemistry and geology"
"6","ACS Chem Neurosci","","Neurosciences","Chosen.by.Luke","Medical and health sciences","Neurosciences"
"7","ACS Nano","ACS Nano","Multidisciplinary","Chosen.by.ERA","Multidisciplinary","Multidisciplinary"
"8","Acta Anaesthesiol Scand","Acta Anaesthesiologica Scandinavica: an international journal of anaesthesiology and intensive care, pain and emergency medicine","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"9","Acta Biomater","Acta Biomaterialia","Multidisciplinary","Chosen.by.ERA","Multidisciplinary","Multidisciplinary"
"10","Acta Crystallogr D Biol Crystallogr","Acta Crystallographica Section D: Biological Crystallography","Chemical Sciences","Chosen.by.ERA","Chemical sciences","Chemistry and geology"
"11","Acta Diabetol","Acta Diabetologica: an international journal devoted to the study of clinical and experimental diabetes and metabolism","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"12","Acta Ethol","Acta Ethologica","Zoology","Chosen.by.ERA","Biological sciences","Zoology"
"13","Acta Histochem Cytochem","Acta Histochemica et Cytochemica","Biochemistry And Cell Biology","Chosen.by.ERA","Biological sciences","Biochemistry And Cell Biology"
"14","Acta Inform Med","Acta Informatica","Computer Software","Chosen.by.ERA","Information and computing sciences","Computer sciences"
